Rank,Company,Ticker,Sector,Industry,Number_of_employees,Revenues_M,Profits_M,Assets_M,MarketCap_M
1,Walmart,WMT,Retailing,General Merchandisers,2100000,648125,15511,252399,559911
2,Amazon,AMZN,Retailing,Internet Services and Retailing,1525000,574785,30425,527854,2005565
3,Apple,AAPL,Technology,"Computers, Office Equipment",161000,383285,96995,352583,3594309
4,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,440000,371622,22381,273720,474339
5,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),396500,364482,96223,1069978,937028
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,259500,357776,8344,249728,73653
7,Exxon Mobil,XOM,Energy,Petroleum Refining,61500,344582,36010,376317,516824
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,182502,307394,73795,402392,2315182
9,McKesson,MCK,Health Care,Wholesalers: Health Care,48000,276711,3560,62320,75007
10,Cencora,COR,Health Care,Wholesalers: Health Care,44000,262173.4,1745.3,62558.7,43758
11,Costco Wholesale,COST,Retailing,General Merchandisers,316000,242290,6292,68994,376272
12,JPMorgan Chase,JPM,Financials,Commercial Banks,309926,239425,49552,3875393,603194
13,Microsoft,MSFT,Technology,Computer Software,221000,211915,72361,411976,3373970
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,47520,205012,261,43417,22832
15,Chevron,CVX,Energy,Petroleum Refining,45600,200949,21369,261632,291950
16,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,71413,195265,5164,152761,94148
17,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,177000,176191,4347,273310,56811
18,Bank of America,BAC,Financials,Commercial Banks,212985,171912,26515,3180151,327595
19,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,163000,171842,10127,273064,56222
20,Elevance Health,ELV,Health Care,Health Care: Insurance and Managed Care,104900,171340,5987,108928,123335
21,Citigroup,C,Financials,Commercial Banks,237925,156820,9228,2411834,124251
22,Centene,CNC,Health Care,Health Care: Insurance and Managed Care,67700,153999,2702,84641,35221
23,Home Depot,HD,Retailing,Specialty Retailers: Other,463100,152669,15143,76530,355454
24,Marathon Petroleum,MPC,Energy,Petroleum Refining,18200,150307,9681,85987,58737
25,Kroger,KR,Food & Drug Stores,Food & Drug Stores,414000,150039,2164,50505,37620
26,Phillips 66,PSX,Energy,Petroleum Refining,14000,149890,7015,75501,59383
27,Fannie Mae,FNMA,Financials,Diversified Financials,8100,141240,17408,4325437,8585
28,Walgreens Boots Alliance,WBA,Food & Drug Stores,Food & Drug Stores,268500,139081,-3080,96628,10100
29,Valero Energy,VLO,Energy,Petroleum Refining,9897,139001,8835,63056,48641
30,Meta Platforms,META,Technology,Internet Services and Retailing,67317,134902,39098,229623,1258678
31,Verizon Communications,VZ,Telecommunications,Telecommunications,105400,133974,11614,380255,171696
32,AT&T,T,Telecommunications,Telecommunications,150470,122428,14400,407060,133222
33,Comcast,CMCSA,Telecommunications,Telecommunications,186000,121572,15388,264811,152786
34,Wells Fargo,WFC,Financials,Commercial Banks,226000,115340,19142,1932468,201265
35,Goldman Sachs Group,GS,Financials,Commercial Banks,45300,108418,8516,1641594,164412
36,Freddie Mac,FMCC,Financials,Diversified Financials,8020,108050,10538,3280976,4528
37,Target,TGT,Retailing,General Merchandisers,415000,107412,4138,55356,69997
38,Humana,HUM,Health Care,Health Care: Insurance and Managed Care,67600,106374,2489,47065,46298
39,State Farm Insurance,,Financials,Insurance: Property and Casualty (Mutual),65054,104198.6,-6272.3,339484.7,
40,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,140473,96773,14997,106618,805719
41,Morgan Stanley,MS,Financials,Commercial Banks,80006,96194,9087,1193693,171065
42,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,131900,95195,35153,167558,359173
43,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,41008,93935,3483,54631,31347
44,PepsiCo,PEP,"Food, Beverages & Tobacco",Food Consumer Products,318000,91471,9074,100495,225074
45,United Parcel Service,UPS,Transportation,"Mail, Package, and Freight Delivery",382550,90958,6708,70857,123329
46,FedEx,FDX,Transportation,"Mail, Package, and Freight Delivery",446400,90155,3972,87143,74517
47,Walt Disney,DIS,Media,Entertainment,199125,88898,2354,205579,176598
48,Dell Technologies,DELL,Technology,"Computers, Office Equipment",120000,88425,3211,82089,97331
49,Lowe's,LOW,Retailing,Specialty Retailers: Other,226000,86377,7726,41795,132299
50,Procter & Gamble,PG,Household Products,Household and Personal Products,107000,82006,14653,120829,388431
51,Energy Transfer,ET,Energy,Pipelines,13786,78586,3935,113698,55235
52,Boeing,BA,Aerospace & Defense,Aerospace & Defense,171000,77794,-2222,137012,109953
53,Albertsons,ACI,Food & Drug Stores,Food & Drug Stores,198650,77649.7,1513.5,26168.2,11333
