Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
1,Walmart,Retailing,,,15511,252399,C. Douglas McMillon,U.S.,Bentonville,Arkansas,https://www.stock.walmart.com,Public,559911
2,Amazon,,1525000,574785,,527854,Andrew R. Jassy,U.S.,Seattle,Washington,https://www.amazon.com,Public,-
3,Apple,Technology,,383285,96995,352583,Timothy D. Cook,U.S.,Cupertino,California,https://www.apple.com,Public,3594309
4,UnitedHealth Group,,440000,371622,22381,273720,Andrew P. Witty,U.S.,Minnetonka,Minnesota,https://www.unitedhealthgroup.com,Public,474339
5,Berkshire Hathaway,Financials,396500,364482,96223,1069978,Warren E. Buffett,U.S.,Omaha,Nebraska,https://www.berkshirehathaway.com,Public,937028
6,CVS Health,Health Care,259500,357776,8344,249728,Karen S. Lynch,U.S.,Woonsocket,Rhode Island,https://www.cvshealth.com,Public,73653
7,Exxon Mobil,Energy,61500,344582,36010,376317,Darren W. Woods,U.S.,Spring,Texas,https://www.exxonmobil.com,Public,516824
8,Alphabet,Technology,182502,307394,73795,402392,Sundar Pichai,U.S.,Mountain View,California,https://www.abc.xyz,Public,2315182
9,McKesson,Health Care,48000,276711,3560,62320,Brian S. Tyler,U.S.,Irving,Texas,https://www.mckesson.com,Public,75007
10,Cencora,Health Care,44000,262173.4,1745.3,62558.7,Steven H. Collis,U.S.,Conshohocken,Pennsylvania,https://www.cencora.com,Public,43758
11,Costco Wholesale,Retailing,316000,242290,6292,68994,Ron M. Vachris,U.S.,Issaquah,Washington,https://www.costco.com,Public,376272
12,JPMorgan Chase,Financials,309926,239425,49552,3875393,James Dimon,U.S.,New York,New York,https://www.jpmorganchase.com,Public,603194
13,Microsoft,Technology,221000,211915,72361,411976,Satya Nadella,U.S.,Redmond,Washington,https://www.microsoft.com,Public,3373970
14,Cardinal Health,Health Care,47520,205012,261,43417,Jason M. Hollar,U.S.,Dublin,Ohio,https://www.cardinalhealth.com,Public,22832
15,Chevron,Energy,45600,200949,21369,261632,Michael K. Wirth,U.S.,San Ramon,California,https://www.chevron.com,Public,291950
16,Cigna,Health Care,71413,195265,5164,152761,David M. Cordani,U.S.,Bloomfield,Connecticut,https://www.thecignagroup.com,Public,94148
17,Ford Motor,Motor Vehicles & Parts,177000,176191,4347,273310,James D. Farley Jr.,U.S.,Dearborn,Michigan,https://www.ford.com,Public,56811
18,Bank of America,Financials,212985,171912,26515,3180151,Brian T. Moynihan,U.S.,Charlotte,North Carolina,https://www.bankofamerica.com,Public,327595
19,General Motors,Motor Vehicles & Parts,163000,171842,10127,273064,Mary T. Barra,U.S.,Detroit,Michigan,https://www.gm.com,Public,56222
20,Elevance Health,Health Care,104900,171340,5987,108928,Gail K. Boudreaux,U.S.,Indianapolis,Indiana,https://www.elevancehealth.com,Public,123335
21,Citigroup,Financials,237925,156820,9228,2411834,Jane Fraser,U.S.,New York,New York,https://www.citigroup.com,Public,124251
22,Centene,Health Care,67700,153999,2702,84641,Sarah M. London,U.S.,St. Louis,Missouri,https://www.centene.com,Public,35221
23,Home Depot,Retailing,463100,152669,15143,76530,Edward P. Decker,U.S.,Atlanta,Georgia,https://www.homedepot.com,Public,355454
24,Marathon Petroleum,Energy,18200,150307,9681,85987,Maryann T. Mannen,U.S.,Findlay,Ohio,https://www.marathonpetroleum.com,Public,58737
25,Kroger,Food & Drug Stores,414000,150039,2164,50505,W. Rodney McMullen,U.S.,Cincinnati,Ohio,https://www.thekrogerco.com,Public,37620
26,Phillips 66,Energy,14000,149890,7015,75501,Mark E. Lashier,U.S.,Houston,Texas,https://www.phillips66.com,Public,59383
27,Fannie Mae,Financials,8100,141240,17408,4325437,Priscilla Almodovar,U.S.,Washington,District Of Columbia,https://www.fanniemae.com,Public,8585
28,Walgreens Boots Alliance,Food & Drug Stores,268500,139081,-3080,96628,Timothy Wentworth,U.S.,Deerfield,Illinois,https://www.walgreensbootsalliance.com,Public,10100
29,Valero Energy,Energy,9897,139001,8835,63056,R. Lane Riggs,U.S.,San Antonio,Texas,https://www.valero.com,Public,48641
30,Meta Platforms,Technology,67317,134902,39098,229623,Mark Zuckerberg,U.S.,Menlo Park,California,https://investor.fb.com,Public,1258678
31,Verizon Communications,Telecommunications,105400,133974,11614,380255,Hans E. Vestberg,U.S.,New York,New York,https://www.verizon.com,Public,171696
32,AT&T,Telecommunications,150470,122428,14400,407060,John T. Stankey,U.S.,Dallas,Texas,https://www.att.com,Public,133222
33,Comcast,Telecommunications,186000,121572,15388,264811,Brian L. Roberts,U.S.,Philadelphia,Pennsylvania,https://www.comcastcorporation.com,Public,152786
34,Wells Fargo,Financials,226000,115340,19142,1932468,Charles W. Scharf,U.S.,San Francisco,California,https://www.wellsfargo.com,Public,201265
35,Goldman Sachs Group,Financials,45300,108418,8516,1641594,David M. Solomon,U.S.,New York,New York,https://www.goldmansachs.com,Public,164412
36,Freddie Mac,Financials,8020,108050,10538,3280976,Michael T. Hutchins,U.S.,McLean,Virginia,https://www.freddiemac.com,Public,4528
37,Target,Retailing,415000,107412,4138,55356,Brian C. Cornell,U.S.,Minneapolis,Minnesota,https://www.target.com,Public,69997
