code,current,name,gender,function,country,nationality,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang
1532872,TRUE,ALEKSANYAN Artur,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1991-10-21,GYUMRI,Armenia,GYUMRI,Armenia,White Bear,Playing and watching football,Athlete,"Graduated from Shirak State University (Gyumri, ARM)","Armenian, English, Russian"
1532873,TRUE,AMOYAN Malkhas,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-01-22,YEREVAN,Armenia,YEREVAN,Armenia,,,,,Armenian
1532874,TRUE,GALSTYAN Slavik,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",1996-12-21,,,YEREVAN,Armenia,,,,,Armenian
1532944,TRUE,HARUTYUNYAN Arsen,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Freestyle 57kg""]",1999-11-22,MASIS,Armenia,YEREVAN,Armenia,,,Athlete,Graduated with a Master's degree from the Armenian State Institute of Physical Culture and Sport (2023),Armenian
1532945,TRUE,TEVANYAN Vazgen,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Freestyle 65kg""]",1999-10-27,POKR VEDI,Armenia,,Armenia,,,Athlete,"Studied at the Armenian State Institute of Physical Culture and Sport (Yerevan, ARM)","Armenian, Russian"
1532951,TRUE,ARENAS Lorena,Female,Athlete,Colombia,Colombia,162,0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1993-09-17,PEREIRA,Colombia,MELBOURNE,Australia,,,Athlete,"Physical Education at Jaime Isaza Cadavid Colombian Polytechnic, Medellin (COL)",Spanish
1533112,TRUE,McKENZIE Ashley,Male,Athlete,Jamaica,Jamaica,0,0,['Judo'],['Men -60 kg'],1989-07-17,LONDON,Great Britain,CAMBERLEY,Great Britain,Bad Boy,Music,Athlete,,English
1533136,TRUE,BASS BITTAYE Gina Mariam,Female,Athlete,Gambia,Gambia,161,0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1995-05-03,TUBAKUTA,Gambia,,,Earlier in her career she was nicknamed the 'Poor Olympian' due to the financial challenges she faced,,"Athlete, police officer (sub-inspector)",,"English, French"
1533176,TRUE,CAMARA Ebrahima,Male,Athlete,Gambia,Gambia,178,0,['Athletics'],"[""Men's 100m""]",1996-09-18,BUNDUNG,Gambia,ANGERS,France,,"Running, watching movies, football, chatting with friends","Athlete, prison officer",,"Arabic, English, French, Mandinka, Wolof"
1533188,TRUE,RUEDA SANTOS Lizeth,Female,Athlete,Mexico,Mexico,0,0,['Triathlon'],"[""Women's Individual""]",1994-03-07,GUADALAJARA,Mexico,XALAPA,Mexico,,,Athlete,Studied Medicine at the University of Guadalajara (MEX),Spanish
1533189,TRUE,TAPIA VIDAL Rosa Maria,Female,Athlete,Mexico,Mexico,0,0,['Triathlon'],"[""Women's Individual""]",1997-08-27,HERMOSILLO,Mexico,GUADALAJARA,Mexico,,,Athlete,"Nutrition - Universidad La Salle Noroeste, Ciudad Obregon, Mexico","English, Spanish"
1533190,TRUE,GRAJALES Crisanto,Male,Athlete,Mexico,Mexico,0,0,['Triathlon'],"[""Men's Individual""]",1987-05-06,XALAPA,Mexico,XALAPA,Mexico,"Diamante Negro (Black Diamond), Martillo Xalapeno (Hammer from Xalapa, given to him by Spanish triathlete Javier Gomez Noya)","Music, films",Athlete,Sport Studies - University of Veracuz (MEX),Spanish
1533208,TRUE,MAAROUFOU Hachim,Male,Athlete,Comoros,Comoros,183,0,['Athletics'],"[""Men's 100m""]",1997-02-13,MARSEILLE,France,MARSEILLE,France,,,Athlete,,French
1533209,TRUE,SAADI Maesha,Female,Athlete,Comoros,Comoros,0,0,['Swimming'],"[""Women's 50m Freestyle""]",2007-01-16,VIENNE,France,SAINT-ROMAIN-EN-GAL,France,,,"Athlete, student",,French
1533230,TRUE,DIOSDADO Nuria,Female,Athlete,Mexico,Mexico,0,0,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22,GUADALAJARA,Mexico,MEXICO CITY,Mexico,"Nutria (""Otter"" in Spanish)","Spending time with friends, playing the piano, going to the cinema","Athlete, sport soldier","Studied Business Administration at Anahuac University (MEX) and later completed two Master's Degrees in Marketing and Public Image at the College of Public Image (Mexico City, MEX)",Spanish
1533231,TRUE,JIMENEZ Joana,Female,Athlete,Mexico,Mexico,0,0,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19,ECATEPEC DE MORELOS,Mexico,MEXICO CITY,Mexico,Joa,Dancing,"Athlete, sport soldier","Studied undergrad Psychology at the University of Latin America (Mexico City, MEX) and completed her Master's degree in the same subject at the Technological University of Mexico (Mexico City)",Spanish
1533232,TRUE,SOBRINO Jessica,Female,Athlete,Mexico,Mexico,0,0,['Artistic Swimming'],['Team'],1994-05-26,MEXICO CITY,Mexico,MEXICO CITY,Mexico,,"Going to the movies, going to restaurants",Athlete,"Studied Business Administration at the Autonomous University of Mexico State (Toluca, MEX)",Spanish
1533234,TRUE,ALFEREZ Regina,Female,Athlete,Mexico,Mexico,0,0,['Artistic Swimming'],['Team'],1997-12-01,,,MEXICO CITY,Mexico,,"Travel, photography, cooking, spending time with friends",Athlete,"Studied at Tecmilenio University (Monterrey, MEX)",Spanish
