Date,Currency_code,Country,Local_price,Dollar_price
2000-04-01,ARS,Argentina,2.5,2.5
2000-04-01,AUD,Australia,2.59,1.541666667
2000-04-01,BRL,Brazil,2.95,1.648044693
2000-04-01,CAD,Canada,2.85,1.93877551
2000-04-01,CHF,Switzerland,5.9,3.470588235
2000-04-01,CLP,Chile,1260,2.451361868
2000-04-01,CNY,China,9.9,1.195652174
2001-04-01,ARS,Argentina,2.5,2.5
2001-04-01,AUD,Australia,3,1.515151515
2001-04-01,BRL,Brazil,3.6,1.643835616
2001-04-01,CAD,Canada,3.33,2.134615385
2001-04-01,CHF,Switzerland,6.3,3.641618497
2001-04-01,CLP,Chile,1260,2.096505824
2001-04-01,CNY,China,9.9,1.195652174
2002-04-01,ARS,Argentina,2.5,0.798722045
2002-04-01,AUD,Australia,3,1.612903226
2002-04-01,BRL,Brazil,3.6,1.538461538
2002-04-01,CAD,Canada,3.33,2.121019108
2002-04-01,CHF,Switzerland,6.3,3.795180723
2002-04-01,CLP,Chile,1400,2.13740458
2002-04-01,CNY,China,10.5,1.268115942
2003-04-01,ARS,Argentina,4.1,1.423611111
2003-04-01,AUD,Australia,3,1.863354037
2003-04-01,BRL,Brazil,4.55,1.482084691
2003-04-01,CAD,Canada,3.2,2.206896552
2003-04-01,CHF,Switzerland,6.3,4.598540146
2003-04-01,CLP,Chile,1400,1.955307263
2003-04-01,CNY,China,9.9,1.195652174
2003-04-01,CZK,Czech Republic,56.57,1.957439446
2003-04-01,DKK,Denmark,27.75,4.092920354
2003-04-01,EGP,Egypt,8,1.351351351
2003-04-01,EUR,Euro area,2.71,2.981
2003-04-01,GBP,Britain,1.99,3.144200002
2003-04-01,HKD,Hong Kong,11.5,1.474358974
2003-04-01,HUF,Hungary,490,2.1875
2003-04-01,IDR,Indonesia,16100,1.842105263
2003-04-01,JPY,Japan,262,2.183333333
2003-04-01,KRW,South Korea,3300,2.704918033
2003-04-01,MXN,Mexico,23,2.184235518
2003-04-01,MYR,Malaysia,5.04,1.326315789
2003-04-01,NZD,New Zealand,3.95,2.219101124
2003-04-01,PEN,Peru,7.9,2.283236994
2003-04-01,PHP,Philippines,65,1.238095238
2003-04-01,PLN,Poland,6.3,1.619537275
2003-04-01,RUB,Russia,41,1.318327974
2003-04-01,SGD,Singapore,3.3,1.853932584
2003-04-01,SEK,Sweden,30,3.597122302
2003-04-01,THB,Thailand,59,1.381733021
2003-04-01,TRY,Turkey,3750000,2.343017807
2003-04-01,TWD,Taiwan,70,2.011494253
2003-04-01,USD,United States,2.71,2.71
2003-04-01,ZAR,South Africa,13.95,1.845238095
2004-05-01,ARS,Argentina,4.36,1.477966102
2004-05-01,AUD,Australia,3.25,2.272727273
2004-05-01,BRL,Brazil,5.4,1.698113208
2004-05-01,CAD,Canada,3.19,2.328467153
2004-05-01,CHF,Switzerland,6.3,4.88372093
2004-05-01,CLP,Chile,1400,2.184087363
2004-05-01,CNY,China,10.4,1.256038647
2004-05-01,COP,Colombia,6500,2.346714419
2004-05-01,CRC,Costa Rica,1130,2.606389113
2004-05-01,CZK,Czech Republic,56.42,2.129056604
2004-05-01,DKK,Denmark,27.75,4.461414791
2004-05-01,EGP,Egypt,10,1.615508885
2004-05-01,EUR,Euro area,2.74,3.288000001
2004-05-01,GBP,Britain,1.88,3.365199999
2004-05-01,HKD,Hong Kong,12,1.540436457
2004-05-01,HUF,Hungary,530,2.511848341
2004-05-01,IDR,Indonesia,16100,1.765350877
2004-05-01,JPY,Japan,262,2.318584071
2004-05-01,KRW,South Korea,3200,2.718776551
2004-05-01,LKR,Sri Lanka,140,1.414141414
2004-05-01,MXN,Mexico,24,2.068965517
2004-05-01,MYR,Malaysia,5.04,1.326315789
2004-05-01,NOK,Norway,35.5,5.183162751
2004-05-01,NZD,New Zealand,4.35,2.652439024
2004-05-01,PKR,Pakistan,110,1.904432133
2004-05-01,PEN,Peru,8.99,2.575931232
2004-05-01,PHP,Philippines,69,1.234347048
2004-05-01,PLN,Poland,6.3,1.627906977
2004-05-01,RUB,Russia,42,1.448275862
2004-05-01,SAR,Saudi Arabia,2.4,0.639965868
2004-05-01,SGD,Singapore,3.3,1.929824561
2004-05-01,SEK,Sweden,30,3.94218134
2004-05-01,THB,Thailand,59,1.446078431
2004-05-01,TRY,Turkey,3950000,2.580013063
2004-05-01,TWD,Taiwan,75,2.245508982
2004-05-01,UAH,Ukraine,7.25,1.359842446
2004-05-01,UYU,Uruguay,29.8,1.002185976
2004-05-01,USD,United States,2.9,2.9
2004-05-01,ZAR,South Africa,12.4,1.861861862
2005-06-01,AED,UAE,9,2.450646698
2005-06-01,ARS,Argentina,4.75,1.639627201
2005-06-01,AUD,Australia,3.25,2.497118709
2005-06-01,BRL,Brazil,5.9,2.393703343
2005-06-01,CAD,Canada,3.28,2.625260125
2005-06-01,CHF,Switzerland,6.3,5.0501002
2005-06-01,CLP,Chile,1500,2.531859229
2005-06-01,CNY,China,10.5,1.268667537
2005-06-01,COP,Colombia,6500,2.792456073
2005-06-01,CRC,Costa Rica,1130,2.377445824
2005-06-01,CZK,Czech Republic,56.42,2.299019188
2005-06-01,DKK,Denmark,27.75,4.575659142
2005-06-01,EGP,Egypt,9,1.551724138
2005-06-01,EUR,Euro area,2.92,3.583131998
2005-06-01,GBP,Britain,1.88,3.440400003
2005-06-01,HKD,Hong Kong,12,1.542277687
2005-06-01,HUF,Hungary,530,2.602593755
2005-06-01,IDR,Indonesia,14600,1.529596647
2005-06-01,JPY,Japan,250,2.342688469
2005-06-01,KRW,South Korea,2500,2.486325211
2005-06-01,LKR,Sri Lanka,175,1.75096303
2005-06-01,MXN,Mexico,28,2.576489533
2005-06-01,MYR,Malaysia,5.25,1.381578947
2005-06-01,NOK,Norway,39,6.06286727
2005-06-01,NZD,New Zealand,4.45,3.173358055
2005-06-01,PKR,Pakistan,130,2.18047635
2005-06-01,PEN,Peru,8.99,2.762244208
2005-06-01,PHP,Philippines,80,1.466544455
2005-06-01,PLN,Poland,6.5,1.963983563
2005-06-01,RUB,Russia,42,1.478586893
2005-06-01,SAR,Saudi Arabia,9,2.399936002
2005-06-01,SGD,Singapore,3.6,2.167760583
2005-06-01,SEK,Sweden,31,4.166554663
2005-06-01,THB,Thailand,60,1.4803849
2005-06-01,TRY,Turkey,4,2.92184076
