budget,genres,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director
"380,000,000",Adventure Action Fantasy,135.413856,2011-05-14,"1,045,713,802",136,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Rob Marshall
"300,000,000",Adventure Fantasy Action,139.082615,2007-05-19,"961,000,000",169,Pirates of the Caribbean: At World's End,6.9,4500,Gore Verbinski
"280,000,000",Action Adventure Science Fiction,134.279229,2015-04-22,"1,405,403,694",141,Avengers: Age of Ultron,7.3,6767,Joss Whedon
"270,000,000",Adventure Fantasy Action Science Fiction,57.925623,2006-06-28,"391,081,192",154,Superman Returns,5.4,1400,Bryan Singer
"260,000,000",Animation Family,48.681969,2010-11-24,"591,794,936",100,Tangled,7.4,3330,Byron Howard
"260,000,000",Action Adventure Science Fiction,43.926995,2012-03-07,"284,139,100",132,John Carter,6.1,2124,Andrew Stanton
"258,000,000",Fantasy Action Adventure,115.699814,2007-05-01,"890,871,626",139,Spider-Man 3,5.9,3576,Sam Raimi
"255,000,000",Action Adventure Western,49.046956,2013-07-03,"89,289,910",149,The Lone Ranger,5.9,2311,Gore Verbinski
"250,000,000",Adventure Action Science Fiction,198.372395,2016-04-27,"1,153,304,495",147,Captain America: Civil War,7.1,7241,Anthony Russo
"250,000,000",Action Crime Drama Thriller,112.31295,2012-07-16,"1,084,939,099",165,The Dark Knight Rises,7.6,9106,Christopher Nolan
"250,000,000",Adventure Fantasy Action,108.849621,2012-11-26,"1,021,103,568",169,The Hobbit: An Unexpected Journey,7,8297,Peter Jackson
"250,000,000",Adventure Fantasy,94.370564,2013-12-11,"958,400,000",161,The Hobbit: The Desolation of Smaug,7.6,4524,Peter Jackson
"250,000,000",Action Adventure Fantasy,120.965743,2014-12-10,"956,019,788",144,The Hobbit: The Battle of the Five Armies,7.1,4760,Peter Jackson
"250,000,000",Adventure Fantasy Family,98.885637,2009-07-07,"933,959,197",153,Harry Potter and the Half-Blood Prince,7.4,5293,David Yates
"250,000,000",Action Adventure Fantasy,155.790452,2016-03-23,"873,260,194",151,Batman v Superman: Dawn of Justice,5.7,7004,Zack Snyder
"250,000,000",Action Adventure Fantasy Science Fiction,118.078691,2014-05-15,"747,862,775",131,X-Men: Days of Future Past,7.5,6032,Bryan Singer
"245,000,000",Action Adventure Crime,107.376788,2015-10-26,"880,674,609",148,Spectre,6.3,4466,Sam Mendes
"237,000,000",Action Adventure Fantasy Science Fiction,150.437577,2009-12-10,"2,787,965,087",162,Avatar,7.2,11800,James Cameron
"225,000,000",Action Adventure Fantasy Science Fiction,99.398009,2013-06-12,"662,845,518",143,Man of Steel,6.5,6359,Zack Snyder
"225,000,000",Action Comedy Science Fiction,52.035179,2012-05-23,"624,026,776",106,Men in Black 3,6.2,4160,Barry Sonnenfeld
"225,000,000",Adventure Family Fantasy,53.978602,2008-05-15,"419,651,413",150,The Chronicles of Narnia: Prince Caspian,6.3,1630,Andrew Adamson
"220,000,000",Science Fiction Action Adventure,144.448633,2012-04-25,"1,519,557,910",143,The Avengers,7.4,11776,Joss Whedon
"215,000,000",Action Adventure Fantasy,89.866276,2012-06-27,"752,215,857",136,The Amazing Spider-Man,6.5,6586,Marc Webb
"210,000,000",Science Fiction Action Adventure,116.840296,2014-06-25,"1,091,405,097",165,Transformers: Age of Extinction,5.8,3095,Michael Bay
"210,000,000",Adventure Action Science Fiction Thriller,3.857526,2006-05-24,"459,359,555",104,X-Men: The Last Stand,6.3,3525,Brett Ratner
"209,000,000",Thriller Action Adventure Science Fiction,64.928382,2012-04-11,"303,025,485",131,Battleship,5.5,2114,Peter Berg
"207,000,000",Adventure Drama Action,61.22601,2005-12-14,"550,000,000",187,King Kong,6.6,2337,Peter Jackson
"200,000,000",Drama Romance Thriller,100.025899,1997-11-18,"1,845,034,188",194,Titanic,7.5,7562,James Cameron
"200,000,000",Action Adventure Science Fiction,77.68208,2013-04-18,"1,215,439,994",130,Iron Man 3,6.8,8806,Shane Black
"200,000,000",Action Adventure Thriller,93.004993,2012-10-25,"1,108,561,013",143,Skyfall,6.9,7604,Sam Mendes
"200,000,000",Animation Family Comedy,59.995418,2010-06-16,"1,066,969,703",103,Toy Story 3,7.6,4597,Lee Unkrich
"200,000,000",Adventure Fantasy Action,145.847379,2006-06-20,"1,065,659,812",151,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski
"200,000,000",Family Fantasy Adventure,78.530105,2010-03-03,"1,025,491,110",108,Alice in Wonderland,6.4,4645,Tim Burton
"200,000,000",Action Adventure Fantasy,35.149586,2004-06-25,"783,766,341",127,Spider-Man 2,6.7,4321,Sam Raimi
"200,000,000",Animation Family,89.186492,2013-06-20,"743,559,607",104,Monsters University,7,3528,Dan Scanlon
"200,000,000",Action Adventure Fantasy,89.270217,2014-04-16,"705,717,432",142,The Amazing Spider-Man 2,6.5,4179,Marc Webb
"200,000,000",Adventure Action Science Fiction,77.300194,2010-04-28,"623,933,331",124,Iron Man 2,6.6,6849,Jon Favreau
