Date,Open,High,Low,Close,Volume,Adj_Close
1999-12-30,147.125,147.5625,146.1875,146.640625,3641300,92.90477753
1999-12-31,146.84375,147.5,146.25,146.875,3172700,93.05325317
2000-01-03,148.25,148.25,143.875,145.4375,8164300,92.14250946
2000-01-04,143.53125,144.0625,139.640625,139.75,8089800,88.53920746
2000-01-05,139.9375,141.53125,137.25,140,12177900,88.69752502
2000-01-06,139.625,141.5,137.75,137.75,6227200,87.27207947
2000-01-07,140.3125,145.75,140.0625,145.75,8066500,92.34051514
2000-01-10,146.25,146.90625,145.03125,146.25,5741700,92.65727234
2000-01-11,145.8125,146.09375,143.5,144.5,7503700,91.54858398
2000-01-12,144.59375,144.59375,142.875,143.0625,6907700,90.63780975
2000-01-13,144.46875,145.75,143.28125,145,5158300,91.86533356
2000-01-14,146.53125,147.46875,145.96875,146.96875,7437300,93.11269379
2000-01-18,145.34375,146.625,145.1875,145.8125,6488500,92.38007355
2000-01-19,145.3125,147,145,147,6157900,93.13243866
2000-01-20,146.96875,146.96875,143.8125,144.75,5800100,91.70694733
2000-01-21,145.5,145.5,144.0625,144.4375,6244800,91.50895691
2000-01-24,145.65625,145.84375,139.40625,140.34375,7896900,88.91535187
2000-01-25,140.515625,141.9375,139,141.9375,9942500,89.92508698
2000-01-26,141,141.546875,140.09375,140.8125,5158100,89.21235657
2000-01-27,141.84375,142.21875,138.125,140.25,10922700,88.85593414
2000-01-28,139.4375,140.0625,135.53125,135.875,11916200,86.08414459
2000-01-31,135.8125,139.671875,135,139.5625,10768700,88.42035675
2000-02-01,139.75,141.6875,138.53125,140.9375,8419900,89.29154968
2000-02-02,141.28125,142.25,140.375,141.0625,6205900,89.37073517
2000-02-03,140.875,143.25,140,143.1875,7997500,90.71703339
2000-02-04,143.1875,144,142.125,142.59375,4925400,90.34087372
2000-02-07,142.5625,142.78125,141.4375,142.375,5845800,90.20225525
2000-02-08,143.96875,144.5625,143.625,144.3125,4936400,91.42980194
2000-02-09,144.46875,144.46875,141.265625,141.28125,8511500,89.50934601
2000-02-10,141.625,142.5625,140.875,141.5625,6690600,89.68749237
2000-02-11,141.84375,141.9375,138.03125,138.6875,9849800,87.86606598
2000-02-14,139.78125,139.78125,138.3125,139.5,8528800,88.38079071
2000-02-15,139.25,141.21875,137.796875,141.078125,11078300,89.38063049
2000-02-16,140.375,140.9375,138.796875,139,8845400,88.06401062
2000-02-17,140.4375,140.4375,138.21875,138.28125,7584200,87.60866547
