country,year,Population,GDP
Arab World,2015,392022276,"2,530,101,503,617 "
Arab World,2014,384222592,"2,873,599,811,405 "
Arab World,2013,376504253,"2,846,994,251,978 "
Arab World,2012,368802611,"2,773,269,952,553 "
Arab World,2011,361031820,"2,497,944,765,462 "
Arab World,2010,353112237,"2,103,824,906,396 "
Arab World,2009,345054176,"1,798,878,411,325 "
Arab World,2008,336886468,"2,081,342,637,384 "
Arab World,2007,328766559,"1,641,666,468,060 "
Arab World,2006,320906736,"1,404,189,584,203 "
Arab World,2005,313430911,"1,184,734,704,133 "
Arab World,2004,306387415,"963,918,019,743 "
Arab World,2003,299731956,"821,870,171,005 "
Arab World,2002,293402563,"727,993,853,983 "
Arab World,2001,287291826,"722,150,596,686 "
Arab World,2000,281326250,"733,948,100,679 "
Arab World,1999,275503565,"643,134,938,257 "
Arab World,1998,269795252,"590,514,115,115 "
Arab World,1997,264153948,"612,303,672,088 "
Arab World,1996,258423164,"577,307,828,894 "
Arab World,1995,252591048,"522,868,447,817 "
Arab World,1994,244893420,"486,672,329,979 "
Arab World,1993,238628852,"475,691,605,225 "
Arab World,1992,232417246,"470,374,932,070 "
Arab World,1991,228171034,"438,879,890,753 "
Arab World,1990,222117305,"446,018,089,283 "
Arab World,1989,214250542,"322,191,094,714 "
Arab World,1988,208546282,"307,455,988,697 "
Arab World,1987,202851923,"312,924,995,029 "
Arab World,1986,197202142,"289,060,552,383 "
Arab World,1985,191564251,"303,808,264,266 "
Arab World,1984,186005735,"308,080,382,905 "
Arab World,1983,180606318,"304,018,148,186 "
Arab World,1982,175237742,"324,198,990,087 "
Arab World,1981,169926632,"348,064,462,477 "
Arab World,1980,164670713,"338,154,224,616 "
Arab World,1979,159455867,"248,051,993,594 "
Arab World,1978,154303887,"183,842,270,086 "
Arab World,1977,149296257,"166,278,566,910 "
Arab World,1976,144542039,"144,014,995,226 "
Arab World,1975,140114424,"115,668,943,586 "
Arab World,1974,136044481,"104,601,565,868 "
Arab World,1973,132298955,"54,590,148,349 "
Arab World,1972,128801209,"42,969,314,677 "
Arab World,1971,125439089,"36,107,209,879 "
Arab World,1970,122128175,"31,091,490,933 "
Arab World,1969,118823872,"28,175,766,605 "
Arab World,1968,115557094,"25,525,963,540 "
Caribbean small states,2015,7048966,"70,876,623,388 "
Caribbean small states,2014,7012857,"71,327,803,910 "
Caribbean small states,2013,6975754,"69,371,346,767 "
Caribbean small states,2012,6937108,"66,505,275,837 "
Caribbean small states,2011,6896697,"64,644,238,532 "
Caribbean small states,2010,6854569,"59,631,444,333 "
Caribbean small states,2009,6811213,"55,910,583,634 "
Caribbean small states,2008,6767278,"66,470,658,556 "
Caribbean small states,2007,6723587,"58,277,065,056 "
Caribbean small states,2006,6681231,"52,391,543,017 "
Caribbean small states,2005,6640916,"46,626,975,107 "
Caribbean small states,2004,6603018,"41,154,157,411 "
Caribbean small states,2003,6567210,"37,469,129,525 "
Caribbean small states,2002,6532561,"34,932,666,036 "
Caribbean small states,2001,6497461,"33,147,771,381 "
Caribbean small states,2000,6454716,"32,206,650,709 "
Caribbean small states,1999,6411686,"29,722,066,501 "
Caribbean small states,1998,6365223,"27,956,719,394 "
Caribbean small states,1997,6312682,"25,471,345,330 "
Caribbean small states,1996,6258158,"22,781,050,469 "
Caribbean small states,1995,6197620,"20,906,493,287 "
Caribbean small states,1994,6146503,"19,054,541,575 "
Caribbean small states,1993,6096016,"17,962,619,349 "
Caribbean small states,1992,6047269,"17,058,094,011 "
Caribbean small states,1991,6001738,"17,364,492,768 "
Caribbean small states,1990,5960368,"17,661,533,072 "
Caribbean small states,1989,5923643,"16,532,806,612 "
Caribbean small states,1988,5886592,"16,152,957,714 "
Caribbean small states,1987,5863744,"15,252,870,383 "
Caribbean small states,1986,5831154,"14,206,628,658 "
Caribbean small states,1985,5786277,"15,611,806,174 "
Caribbean small states,1984,5732089,"15,832,790,718 "
Caribbean small states,1983,5667553,"16,610,028,666 "
Caribbean small states,1982,5599100,"16,399,499,253 "
Caribbean small states,1981,5531599,"14,776,050,243 "
Caribbean small states,1980,5471020,"13,391,895,104 "
Caribbean small states,1979,5409054,"10,904,468,434 "
Caribbean small states,1978,5350330,"9,526,092,276 "
Caribbean small states,1977,5293790,"9,355,744,292 "
Caribbean small states,1976,5237098,"8,046,930,357 "
Caribbean small states,1975,5178940,"7,841,503,720 "
Caribbean small states,1974,5120227,"6,701,492,696 "
Caribbean small states,1973,5060335,"5,155,033,157 "
Caribbean small states,1972,4999973,"4,719,097,360 "
Caribbean small states,1971,4940523,"4,076,300,971 "
Caribbean small states,1970,4882583,"3,749,357,930 "
Caribbean small states,1969,4825706,"3,407,817,267 "
Caribbean small states,1968,4770152,"3,131,417,506 "
Caribbean small states,1967,4713767,"3,149,144,824 "
Caribbean small states,1966,4653340,"2,933,735,550 "
Caribbean small states,1965,4586896,"2,704,964,605 "
Caribbean small states,1964,4514432,"2,512,062,452 "
Caribbean small states,1963,4435830,"2,325,296,051 "
Caribbean small states,1962,4353408,"2,189,410,782 "
Caribbean small states,1961,4270928,"2,074,884,875 "
Caribbean small states,1960,4190810,"1,917,147,690 "
Central Europe and the Baltics,2015,103318638,"1,273,220,514,555 "
Central Europe and the Baltics,2014,103496179,"1,457,646,238,323 "
Central Europe and the Baltics,2013,103713726,"1,419,326,474,032 "
Central Europe and the Baltics,2012,103935318,"1,348,872,696,423 "
Central Europe and the Baltics,2011,104174038,"1,444,815,513,132 "
Central Europe and the Baltics,2010,104543801,"1,311,611,412,790 "
Central Europe and the Baltics,2009,104924372,"1,276,033,720,808 "
Central Europe and the Baltics,2008,105126686,"1,519,068,033,620 "
Central Europe and the Baltics,2007,105504531,"1,260,066,048,113 "
Central Europe and the Baltics,2006,105999320,"1,000,066,587,843 "
Central Europe and the Baltics,2005,106254694,"883,741,483,175 "
Central Europe and the Baltics,2004,106530417,"760,810,637,705 "
Central Europe and the Baltics,2003,106808998,"634,213,097,180 "
Central Europe and the Baltics,2002,107128884,"527,092,704,628 "
Central Europe and the Baltics,2001,107811539,"468,118,514,896 "
Central Europe and the Baltics,2000,108405522,"427,507,466,216 "
Central Europe and the Baltics,1999,109092730,"432,377,784,910 "
Central Europe and the Baltics,1998,109207205,"446,348,606,715 "
Central Europe and the Baltics,1997,109459093,"407,276,593,623 "
Central Europe and the Baltics,1996,109563097,"409,709,343,406 "
Central Europe and the Baltics,1995,109913216,"383,296,042,544 "
Central Europe and the Baltics,1994,110019570,"308,502,696,885 "
Central Europe and the Baltics,1993,110081461,"272,008,417,772 "
Central Europe and the Baltics,1992,110005636,"257,939,070,940 "
Central Europe and the Baltics,1991,110290445,"240,934,945,123 "
Central Europe and the Baltics,1990,110745760,"254,126,221,997 "
Early-demographic dividend,2015,3122703317,"9,844,617,142,362 "
Early-demographic dividend,2014,3079001949,"10,267,576,728,376 "
Early-demographic dividend,2013,3035325824,"10,153,468,536,425 "
Early-demographic dividend,2012,2991724468,"9,970,409,251,861 "
Early-demographic dividend,2011,2948205642,"9,527,990,856,609 "
Early-demographic dividend,2010,2904408228,"8,545,646,445,320 "
Early-demographic dividend,2009,2860676106,"7,057,713,847,264 "
Early-demographic dividend,2008,2817324737,"7,336,330,876,685 "
Early-demographic dividend,2007,2774122008,"6,523,587,674,572 "
Early-demographic dividend,2006,2731071075,"5,485,886,376,605 "
Early-demographic dividend,2005,2688160483,"4,789,642,022,156 "
Early-demographic dividend,2004,2645383620,"4,109,317,989,270 "
Early-demographic dividend,2003,2602699761,"3,522,277,632,589 "
Early-demographic dividend,2002,2559959392,"3,153,810,083,176 "
Early-demographic dividend,2001,2516977040,"3,248,588,653,840 "
